data_id,iso,event_id_cnty,event_id_no_cnty,event_date,year,time_precision,event_type,sub_event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,timestamp,iso3,War-related,Pro-regime,Type,Mention of authorisation,Authorisation- notes
9368225,643,RUS8428,8428,17 June 2022,2022,1,Protests,Peaceful protest,Protesters (Russia),,6,,,0,60,Europe,Russia,Primorskiy,Bolshoy Kamen,,Bolshoy Kamen,43.1117,132.3454,1,Vostok-media,Subnational,"On 17 June 2022, people gathered in Bolshoy Kamen to take part in a demonstration and flash mob in support of the Russian armed forces. The participants lined up in the shape of the letter V, one of the symbols of the Russian military invasion of Ukraine. [size=no report]",0,1655837877,RUS,1,1,Political,0,
9367743,643,RUS8427,8427,16 June 2022,2022,1,Protests,Peaceful protest,Protesters (Russia),,6,,,0,60,Europe,Russia,Republic of Altai,Gorno-Altaysk,,Gorno-Altaysk,51.9561,85.955,1,GTRK Gorniy Altai,Subnational,"On 16 June 2022, residents gathered in Gorno-Altaysk in support of the Russian military invasion of Ukraine and Russian armed forces. [size=no report]",0,1655837876,RUS,1,1,Political,0,
9367539,643,RUS8425,8425,15 June 2022,2022,1,Protests,Peaceful protest,Protesters (Russia),,6,,,0,60,Europe,Russia,Astrakhan,Privolzhskiy,,Yaksatovo,46.2456,48.0145,1,Activatica,Other,"On 15 June 2022, around 150 residents staged a demonstration in Yaksatovo, Astrakhan, demanding that the authorities solve the problems with public transportation. The permits of local public transportation companies were not extended on time due to bureaucracy. [size=around 150]",0,1655837876,RUS,0,0,Political,0,
9368133,643,RUS8424,8424,15 June 2022,2022,1,Protests,Peaceful protest,Protesters (Russia),,6,,,0,60,Europe,Russia,Moscow,,,Moscow,55.7522,37.6156,1,Regnum,International,"On 15 June 2022, protesters held pickets on front of the Embassy of Moldova in Moscow, protesting against the 'anti-Russian rhetoric' of the Moldovan authorities and its pro-NATO stance. [size=no report]",0,1655837877,RUS,0,0,Political,0,
9368216,643,RUS8423,8423,13 June 2022,2022,1,Protests,Peaceful protest,Protesters (Russia),,6,,,0,60,Europe,Russia,Sverdlovsk,Ekaterinburg,,Yekaterinburg,56.8519,60.6122,1,Ura.ru,National,"On 13 June 2022, around 40-50 residents gathered in a park in Yekaterinburg, protesting against the ongoing road construction. [size=around 40-50]",0,1655837877,RUS,0,0,Environmental,0,
9367381,643,RUS8412,8412,12 June 2022,2022,1,Protests,Protest with intervention,Protesters (Russia),,6,Police Forces of Russia (2000-),,1,16,Europe,Russia,Moscow,,,Moscow,55.7522,37.6156,1,OVD Info; Activatica,Other-National,"On 12 June 2022, 3 anti-war protesters staged pickets at different locations in Moscow, due to the military invasion of Ukraine. Police intervened, arresting all protesters. [size=3]",0,1655837875,RUS,1,0,Political,0,
9367541,643,RUS8414,8414,12 June 2022,2022,1,Protests,Protest with intervention,Protesters (Russia),,6,Police Forces of Russia (2000-),,1,16,Europe,Russia,Saint Petersburg,Admiralteyskiy,,St. Petersburg,59.931,30.3049,1,Activatica,Other,"On 12 June 2022, 4 anti-war protesters staged pickets at different locations in St. Petersburg, due to the military invasion of Ukraine. Police intervened, arresting all protesters. [size=4]",0,1655837876,RUS,1,0,Political,0,
9367769,643,RUS8407,8407,12 June 2022,2022,1,Protests,Peaceful protest,Protesters (Russia),KPRF: Communist Party of the Russian Federation,6,,,0,60,Europe,Russia,Kaluga,Kaluga,,Kaluga,54.5293,36.2754,1,KPRF,Other,"On 12 June 2022, KPRF activists staged pickets in Kaluga, supporting the Russian military invasion of Ukraine and protesting against the ban of the Communist Party in Ukraine. [size=no report]",0,1655837876,RUS,1,1,Political,0,
9368114,643,RUS8413,8413,12 June 2022,2022,1,Protests,Protest with intervention,Protesters (Russia),,6,Police Forces of Russia (2000-),,1,16,Europe,Russia,Samara,Samara,,Samara,53.2001,50.15,1,OVD Info,National,"On 12 June 2022, 3 anti-war protesters staged pickets in the center of Samara, due to the military invasion of Ukraine. Police intervened, arresting all protesters. [size=3]",0,1655837877,RUS,1,0,Political,0,
9368192,643,RUS8408,8408,12 June 2022,2022,1,Protests,Peaceful protest,Protesters (Russia),LF: Left Front,6,,,0,60,Europe,Russia,Moscow,,,Moscow,55.7522,37.6156,1,Svobodnaya Pressa,Regional,"On 12 June 2022, Left Front activists held pickets in Moscow, protesting against neoliberal policies and demanding to introduce progressive taxation and higher taxes for the oligarchs. [size=no report]",0,1655837877,RUS,0,0,Economic,0,
9367383,643,RUS8419,8419,11 June 2022,2022,1,Protests,Peaceful protest,Protesters (Russia),,6,,,0,60,Europe,Russia,Krasnodar,Goryachiy Klyuch,,Goryachiy Klyuch,44.634,39.1355,1,RFE/RL; Caucasian Knot,Subnational-International,"On 11 June 2022, around 50 residents gathered in Goryachiy Klyuch, protesting against the proposed landfill construction near a resort. [size=around 50]",0,1655837875,RUS,0,0,Environmental,0,
9367538,643,RUS8418,8418,11 June 2022,2022,1,Protests,Peaceful protest,Protesters (Russia),,6,,,0,60,Europe,Russia,Chelyabinsk,Chelyabinskiy,,Chelyabinsk,55.154,61.4292,1,Activatica,Other,"On 11 June 2022, 13 activists gathered in a forest in Chelyabinsk, trying to prevent the planned construction works. Police was present on site, but did not intervene. [size=13]",0,1655837876,RUS,0,0,Environmental,0,
9367770,643,RUS8420,8420,11 June 2022,2022,1,Protests,Peaceful protest,Protesters (Russia),,6,,,0,60,Europe,Russia,Murmansk,Murmansk,,Murmansk,68.9792,33.0925,1,Krasnaya Vesna,National,"On 11 June 2022, residents gathered in front of the Consulate of Finland in Murmansk, protesting against the country's decision to join NATO. The protesters also called for the boycott of Finish goods in case Finland does not give up on its NATO integration. [size=no report]",0,1655837876,RUS,0,0,Political,0,
9361030,643,RUS8392,8392,10 June 2022,2022,1,Protests,Peaceful protest,Protesters (Russia),KPRF: Communist Party of the Russian Federation,6,,,0,60,Europe,Russia,Saratov,Saratov,,Saratov,51.5406,46.0086,1,KPRF,Other,"On 10 June 2022, KPRF activists staged a series of coordinated pickets in Saratov, supporting the government's decision to quit Bologna system, European standards system for higher education, and demanding to cancel the Unified State Exam system. [size=no report]",0,1655227261,RUS,0,1,Political,0,
9360787,643,RUS8388,8388,09 June 2022,2022,1,Protests,Peaceful protest,Protesters (Russia),Government of Russia (2000-),6,,,0,60,Europe,Russia,Kostroma,Kostroma,,Kostroma,57.7665,40.9269,1,7x7,National,"On 9 June 2022, around 10 protesters took part in a demonstration in Kostroma, opposing the use of nuclear weapons by Russia. The demonstration was organized by a deputy of the Kostroma regional parliament, a member of the Party of Social Protection. [size=around 10]",0,1655227260,RUS,0,0,Political,0,
9360996,643,RUS8386,8386,09 June 2022,2022,1,Protests,Peaceful protest,Protesters (Russia),Former Police Forces of Russia (2000-); Former Military Forces of Russia (2000-); Combat Brotherhood; Students (Russia),6,,,0,60,Europe,Russia,Oryol,Mtsensk,,Otradinskoye,53.1606,36.3466,1,GTRK Oryol,Subnational,"On 9 June 2022, residents, including members of a veterans' organization Combat Brotherhood, students, and former law enforcement officials, gathered in Mtsensk district, close to Otradinskoye, to support the Russian military invasion of Ukraine. [size=no report]",0,1655227261,RUS,1,1,Political,0,
9361029,643,RUS8391,8391,09 June 2022,2022,1,Protests,Peaceful protest,Protesters (Russia),KPRF: Communist Party of the Russian Federation,6,,,0,60,Europe,Russia,Altai,Barnaul,,Barnaul,53.3606,83.7636,1,KPRF,Other,"On 9 June 2022, KPRF activists staged pickets in Barnaul, collecting signatures in support of installing a monument to Marshal Zhukov on the Zhukov square. [size=no report]",0,1655227261,RUS,0,0,Cultural,0,
9361379,643,RUS8402,8402,09 June 2022,2022,1,Protests,Protest with intervention,Protesters (Russia),,6,Police Forces of Russia (2000-),,1,16,Europe,Russia,Moscow,,,Moscow,55.7522,37.6156,1,OVD Info,National,"On 9 June 2022, 3 protesters participated in pickets at different locations in Moscow, protesting against the Russian military invasion of Ukraine. Police intervened in the event, arresting all protesters. [size=3]",0,1655227262,RUS,1,0,Political,0,
9360640,643,RUS8399,8399,08 June 2022,2022,1,Protests,Peaceful protest,Protesters (Russia),,6,,,0,60,Europe,Russia,Chelyabinsk,Chelyabinskiy,,Chelyabinsk,55.154,61.4292,1,Komsomolskaya Pravda; OVD Info,National,"On 8 June 2022, residents gathered in a forest in Chelyabinsk, protesting against cutting down the forest and construction works. They put a banner and set up a tent to keep watch on workers. [size=no report]",0,1655227260,RUS,0,0,Environmental,0,
9361475,643,RUS8400,8400,08 June 2022,2022,1,Protests,Peaceful protest,Protesters (Russia),,6,,,0,60,Europe,Russia,Kamchatka,Aleutskiy,,Nikolskoye,55.1943,166.0033,1,Ural56.ru,National,"On 8 June 2022, residents gathered in Nikolskoye, protesting against the closure of the local school. [size=no report]",0,1655227262,RUS,0,0,Social,0,
9361486,643,RUS8387,8387,08 June 2022,2022,1,Protests,Peaceful protest,Protesters (Russia),Government of Russia (2000-),6,,,0,60,Europe,Russia,Primorskiy,Ussuriyskiy,,Ussuriysk,43.8,131.9667,1,Vostok-media,Subnational,"On 8 June 2022, over 1000 residents, including high-ranking government officials, gathered in Ussuriysk in support of the Russian armed forces in Ukraine. [size=over 1000]",0,1655227262,RUS,1,1,Political,0,
9360786,643,RUS8398,8398,06 June 2022,2022,1,Protests,Peaceful protest,Protesters (Russia),,6,,,0,60,Europe,Russia,Sverdlovsk,Ekaterinburg,,Yekaterinburg,56.8519,60.6122,1,66.ru,Subnational,"On 6 June 2022, around 100 residents gathered in Yekaterinburg, protesting against the construction of a high-rise building on the place of a green square. [size=around 100]",0,1655227260,RUS,0,0,Environmental,0,
9360792,643,RUS8397,8397,06 June 2022,2022,1,Protests,Peaceful protest,Protesters (Russia),,6,,,0,60,Europe,Russia,Moscow Oblast,Lyubertsy,,Kraskovo,55.6653,37.9869,1,Activatica,Other,"On 6 June 2022, residents gathered in Kraskovo, protesting against cutting down a pine forest to clear space for the construction of a new school. [size=no report]",0,1655227260,RUS,0,0,Environmental,0,
9360965,643,RUS8396,8396,06 June 2022,2022,2,Protests,Peaceful protest,Protesters (Russia),,6,,,0,60,Europe,Russia,Khabarovsk,Khabarovsk,,Khabarovsk,48.4827,135.0838,1,Dvnovosti,Subnational,"Around 6 June 2022 (as reported), around 30 residents took part in a motor rally in Khabarovsk, demanding the release of Sergei Furgal, the former governor of Khabarovsk Oblast. He was arrested in summer of 2020 on charges of organizing murders in the early 2000s, which his supporters consider to be politically motivated. [size=around 30]",0,1655227261,RUS,0,0,Political,0,
9361012,643,RUS8389,8389,06 June 2022,2022,1,Protests,Peaceful protest,Protesters (Russia),Government of Russia (2000-); Former Military Forces of Russia (2000-); Combat Brotherhood,6,,,0,60,Europe,Russia,Kostroma,Kostroma,,Kostroma,57.7665,40.9269,1,Komsomolskaya Pravda,National,"On 6 June 2022, residents, including members of a veterans' organization Combat Brotherhood, government officials and MVD employees, gathered in Kostroma to participate in a concert-rally in support of the Russian military invasion of Ukraine. [size=no report]",0,1655227261,RUS,1,1,Political,0,
9361418,643,RUS8393,8393,06 June 2022,2022,1,Protests,Peaceful protest,Protesters (Russia),LDPR: Liberal Democratic Party of Russia,6,,,0,60,Europe,Russia,Kursk,Kursk,,Kursk,51.7373,36.1873,1,Sekunda,Subnational,"On 6 June 2022, LDPR members staged a picket in Kursk against the rising public utility rates. [size=no report]",0,1655227262,RUS,0,0,Economic,0,
9361404,643,RUS8390,8390,05 June 2022,2022,1,Protests,Peaceful protest,Protesters (Russia),KPRF: Communist Party of the Russian Federation,6,,,0,60,Europe,Russia,Krasnodar,Gelendzhik,,Gelendzhik,44.5609,38.0799,1,RFE/RL,International,"On 5 June 2022, around 350 residents, including KPRF members, gathered in Gelendzhik, protesting against the new city site plan and the new land-use rules. The protesters demanded the resignation of the city mayor. [size=around 350]",0,1655227262,RUS,0,0,Environmental,0,
9360639,643,RUS8395,8395,04 June 2022,2022,1,Protests,Peaceful protest,Protesters (Russia),,6,,,0,60,Europe,Russia,Zabaykalskiy,Chita,,Chita,52.0317,113.5009,1,Tayga.Info; Activatica,Other-National,"On 4 June 2022, dozens of residents staged a demonstration in Chita, protesting against declining wages and rising prices. The protesters adopted a resolution, which included a demand for the resignation of the Russian president Vladimir Putin. [size=dozens]",0,1655227260,RUS,0,0,Economic,0,
9360791,643,RUS8401,8401,04 June 2022,2022,1,Protests,Protest with intervention,Protesters (Russia),,6,Police Forces of Russia (2000-),,1,16,Europe,Russia,Moscow,,,Moscow,55.7522,37.6156,1,Activatica,Other,"On 4 June 2022, 4 protesters participated in pickets at different locations in Moscow, protesting against the Russian military invasion of Ukraine. Police intervened in the event, arresting all protesters. [size=4]",0,1655227260,RUS,1,0,Political,0,
