"event_id_cnty","event_date","year","time_precision","disorder_type","event_type","sub_event_type","actor1","assoc_actor_1","inter1","actor2","assoc_actor_2","inter2","interaction","civilian_targeting","iso","region","country","admin1","admin2","admin3","location","latitude","longitude","geo_precision","source","source_scale","notes","fatalities","tags","timestamp","pro_kremlin_indicator","topic","proportion","max","protest_type","unauthorized","authorized","date","month_year"
"RUS9261","23 December 2022",2022,1,"Demonstrations","Protests","Protest with intervention","Protesters (Russia)","NBP: National Bolshevik Party",6,"Police Forces of Russia (2000-)","",1,16,"",643,"Europe","Russia","Saint Petersburg","Admiralteyskiy","","St. Petersburg",59.931,30.3049,1,"OVD Info","National","On 23 December 2022, NBP members ('Nazbols') staged a protest action in St. Petersburg. They were holding signs, saying 'The banker is the enemy of the soldier'. Police intervened, arresting all participants.",0,"crowd size=no report",1673376402,0,"1_cultural",0.995213708850337,TRUE,"cultural",0,0,2022-12-23,"2022-12"
"RUS9297","23 December 2022",2022,1,"Demonstrations","Protests","Peaceful protest","Protesters (Russia)","",6,"","",0,60,"",643,"Europe","Russia","Republic of Dagestan","Makhachkala","","Makhachkala",42.9764,47.5024,1,"Caucasian Knot","National","On 23 December 2022, residents blocked a road in Makhachkala, protesting against power outages.",0,"crowd size=no report",1673376402,0,"3_environmental",0.988291244994496,TRUE,"environmental",0,0,2022-12-23,"2022-12"
"RUS9259","19 December 2022",2022,1,"Demonstrations","Protests","Peaceful protest","Protesters (Russia)","Journalists (Russia)",6,"","",0,60,"",643,"Europe","Russia","Republic of Dagestan","Makhachkala","","Makhachkala",42.9764,47.5024,1,"Activatica","Other","On 19 December 2022, three journalists staged pickets at different locations in Makhachkala, protesting against repressions against journalists and showing support for their colleague who is facing trumped-up charges in Dagestan.",0,"crowd size=3",1673376402,0,"5_political",0.643971141598905,TRUE,"political",0,0,2022-12-19,"2022-12"
"RUS9296","19 December 2022",2022,2,"Demonstrations","Protests","Peaceful protest","Protesters (Russia)","",6,"","",0,60,"",643,"Europe","Russia","Republic of Tatarstan","Naberezhnye Chelny","","Naberezhnyye Chelny",55.7254,52.4112,1,"InKazan","Subnational","Around 19 December 2022 (as reported), residents gathered in Naberezhnyye Chelny, protesting against the construction of a multistory building in the place of the cut-down green area.",0,"crowd size=no report",1673376402,0,"3_environmental",0.710488999166292,TRUE,"environmental",0,0,2022-12-19,"2022-12"
"RUS9257","19 December 2022",2022,1,"Demonstrations","Protests","Peaceful protest","Protesters (Russia)","Former Military Forces of Russia (2000-); Government of Russia (2000-)",6,"","",0,60,"",643,"Europe","Russia","Ivanovo","Ivanovo","","Ivanovo",56.9972,40.9714,1,"Moskovskij Komsomolets","National","On 19 December 2022, people gathered in Ivanovo to take part in a rally in support of the Russian military invasion of Ukraine. A city council deputy and the head of a local veterans' association spoke at the event.",0,"crowd size=no report",1680633868,1,"7_war",0.995519006219509,TRUE,"war",0,0,2022-12-19,"2022-12"
"RUS9295","19 December 2022",2022,1,"Demonstrations","Protests","Peaceful protest","Protesters (Russia)","",6,"","",0,60,"",643,"Europe","Russia","Pskov","Velikie Luki","","Velikiye Luki",56.34,30.5451,1,"Komsomolskaya Pravda; Luki.ru","Subnational-National","On 19 December 2022, people gathered in Velikiye Luki to take part in a concert-rally in support of the Russian military invasion of Ukraine.",0,"crowd size=no report",1680633868,0,"7_war",0.992783293534208,TRUE,"war",0,0,2022-12-19,"2022-12"
"RUS9294","18 December 2022",2022,1,"Demonstrations","Protests","Peaceful protest","Protesters (Russia)","",6,"","",0,60,"",643,"Europe","Russia","Saint Petersburg","Admiralteyskiy","","St. Petersburg",59.931,30.3049,1,"Activatica","Other","On 18 December 2022, around 20 residents gathered in St. Petersburg, protesting against the cutting down of a local green area.",0,"crowd size=around 20",1673376402,0,"3_environmental",0.991767820434436,TRUE,"environmental",0,0,2022-12-18,"2022-12"
"RUS9258","16 December 2022",2022,1,"Demonstrations","Protests","Peaceful protest","Protesters (Russia)","Government of Russia (2000-); ER: United Russia",6,"","",0,60,"",643,"Europe","Russia","Tambov","Tambov","","Tambov",52.7317,41.4433,1,"448verst","Subnational","On 16 December 2022, people gathered in Tambov to take part in a concert- rally in support of the Russian military invasion of Ukraine. The head of the region from the United Russia party spoke at the event.",0,"crowd size=no report",1680633880,1,"7_war",0.995296112203082,TRUE,"war",0,0,2022-12-16,"2022-12"
"RUS9260","15 December 2022",2022,1,"Demonstrations","Protests","Peaceful protest","Protesters (Russia)","NOD: National Liberation Movement",6,"","",0,60,"",643,"Europe","Russia","Moscow","","","Moscow",55.7522,37.6156,1,"Ridus","National","On 15 December 2022, dozens of NOD activists staged an anti-US and anti-LGBT protest in front of the American embassy in Moscow. During the protest, activists were chanting slogans, calling on the Russian authorities to target the 'centers of decision-making', meaning Washington.",0,"crowd size=dozens",1673376402,1,"1_cultural",0.996079860994721,TRUE,"cultural",0,0,2022-12-15,"2022-12"
"RUS9256","15 December 2022",2022,1,"Demonstrations","Protests","Peaceful protest","Protesters (Russia)","ER: United Russia",6,"","",0,60,"",643,"Europe","Russia","Smolensk","Smolensk","","Smolensk",54.7818,32.0401,1,"Smolenskaya Gazeta","Subnational","On 15 December 2022, people gathered in Smolensk to take part in a rally in support of the Russian military invasion of Ukraine. The rally was organized by the youth wing of the ruling United Russia party.",0,"crowd size=no report",1680633868,1,"7_war",0.995296112203082,TRUE,"war",0,0,2022-12-15,"2022-12"
"RUS9298","14 December 2022",2022,1,"Demonstrations","Protests","Peaceful protest","Protesters (Russia)","",6,"","",0,60,"",643,"Europe","Russia","Krasnodar","Anapa","","Anapa",44.8849,37.3193,1,"Caucasian Knot; Golos-Kubani.ru","Subnational-National","On 14 December 2022, around 40 people staged a protest in Anapa against the construction of a new residential complex, due to concerns related to the lack of transport and social infrastructure. They organized a mass picket near the construction site and blocked the movement of construction vehicles.",0,"crowd size=around 40",1673376402,0,"3_environmental",0.843578653223891,TRUE,"environmental",0,0,2022-12-14,"2022-12"
"RUS9233","08 December 2022",2022,1,"Demonstrations","Protests","Peaceful protest","Protesters (Russia)","Government of Russia (2000-); Military Forces of Russia (2000-)",6,"","",0,60,"",643,"Europe","Russia","Republic of Kabardino-Balkaria","Terskiy","","Terek",43.4847,44.1367,1,"RIA Novosti","National","On 8 December 2022, people gathered in Terek to participate in a rally in support of the Russian armed forces. Members of the local administration as well as military personnel took part in the event.",0,"crowd size=no report",1680633866,1,"7_war",0.628628661945908,TRUE,"war",0,0,2022-12-08,"2022-12"
"RUS9235","05 December 2022",2022,1,"Demonstrations","Protests","Peaceful protest","Protesters (Russia)","KPRF: Communist Party of the Russian Federation",6,"","",0,60,"",643,"Europe","Russia","Kirov","Kirov","","Kirov",58.5967,49.6601,1,"KPRF","Other","On 5 December 2022, KPRF activists held pickets in Kirov against the socio-economic policies of the government.",0,"crowd size=no report",1670965351,0,"2_economic",0.990665860195664,TRUE,"economic",0,0,2022-12-05,"2022-12"
"RUS9255","05 December 2022",2022,1,"Demonstrations","Protests","Peaceful protest","Protesters (Russia)","",6,"","",0,60,"",643,"Europe","Russia","Republic of Tuva","Kyzyl","","Kyzyl",51.7147,94.4534,1,"Moskovskij Komsomolets","National","On 5 December 2022, residents gathered in Kyzyl to take part in a rally in support of the Russian military invasion of Ukraine.",0,"crowd size=no report",1680633866,0,"7_war",0.992187053688151,TRUE,"war",0,0,2022-12-05,"2022-12"
"RUS9234","04 December 2022",2022,1,"Demonstrations","Protests","Peaceful protest","Protesters (Russia)","KPRF: Communist Party of the Russian Federation",6,"","",0,60,"",643,"Europe","Russia","Irkutsk","Irkutsk","","Irkutsk",52.2978,104.2964,1,"MBK Media","National","On 4 December 2022, activists staged a demonstration in Irkutsk to protest against the US and NATO involvement in Ukraine and show support for the Russian army. A KPRF deputy took part in the event.",0,"crowd size=no report",1680633866,0,"1_cultural",0.498077683255147,TRUE,"cultural",0,0,2022-12-04,"2022-12"
"RUS9254","04 December 2022",2022,1,"Demonstrations","Protests","Peaceful protest","Protesters (Russia)","",6,"","",0,60,"",643,"Europe","Russia","Nizhny Novgorod","Nizhniy Novgorod","","Nizhny Novgorod",56.2946,43.9412,1,"Komsomolskaya Pravda","National","On 4 December 2022, activists staged a picket in front of the concert hall in Nizhny Novgorod, where a theater play, involving a famous actress who publicly opposed the Russian military invasion in Ukraine, was taking place. The protesters were holding signs such as 'traitor', 'out of Russia', etc.",0,"crowd size=no report",1680633866,0,"1_cultural",0.406477664825213,TRUE,"cultural",0,0,2022-12-04,"2022-12"
"RUS9230","02 December 2022",2022,1,"Demonstrations","Protests","Peaceful protest","Protesters (Russia)","ER: United Russia",6,"","",0,60,"",643,"Europe","Russia","Republic of Bashkortostan","Ufa","","Ufa",54.7852,56.0456,1,"Bash.News","Subnational","On 2 December 2022, people gathered in Ufa to participate in a rally, organized by the youth branch of the ruling United Russia party, in support of the Russian military invasion of Ukraine.",0,"crowd size=no report",1680633864,1,"7_war",0.994776451739925,TRUE,"war",0,0,2022-12-02,"2022-12"
"RUS9222","30 November 2022",2022,1,"Demonstrations","Protests","Peaceful protest","Protesters (Russia)","",6,"","",0,60,"",643,"Europe","Russia","Moscow","","","Moscow",55.7522,37.6156,1,"Activatica","Other","On 30 November 2022, property owners protested in front of the Prosecutor General's office in Moscow. They have been waiting for 10 years for their apartments to be finished but still haven't received them because of the construction company's fraud.",0,"crowd size=no report",1670352627,0,"3_environmental",0.468934966407812,TRUE,"environmental",0,0,2022-11-30,"2022-11"
"RUS9212","29 November 2022",2022,2,"Demonstrations","Protests","Peaceful protest","Protesters (Russia)","",6,"","",0,60,"",643,"Europe","Russia","Moscow Oblast","Pushkinskiy","","Pushkino",55.9994,37.8375,1,"EcoProtest","National","Around 29 November 2022 (as reported), protesters gathered in Pushkino, protesting against the construction of a warehouse, because of environmental concerns and fears related to the potential influx of migrant workers to the area.",0,"crowd size=no report",1670352627,0,"3_environmental",0.994835009120371,TRUE,"environmental",0,0,2022-11-29,"2022-11"
"RUS9213","29 November 2022",2022,2,"Demonstrations","Protests","Peaceful protest","Protesters (Russia)","",6,"","",0,60,"",643,"Europe","Russia","Republic of North Ossetia-Alania","Vladikavkaz","","Vladikavkaz",43.0367,44.6678,1,"EcoProtest","National","Around 29 November 2022 (as reported), activists staged pickets in Vladikavkaz, demanding to stop cutting down trees in a local park.",0,"crowd size=no report",1670352627,0,"3_environmental",0.993652520500572,TRUE,"environmental",0,0,2022-11-29,"2022-11"
"RUS9210","28 November 2022",2022,1,"Demonstrations","Protests","Peaceful protest","Protesters (Russia)","Journalists (Russia)",6,"","",0,60,"",643,"Europe","Russia","Republic of Dagestan","Makhachkala","","Makhachkala",42.9764,47.5024,1,"RFE/RL","International","On 28 November 2022, 3 journalists staged pickets in Makhachkala, demanding to stop pressure on independent journalism and to release political prisoners.",0,"crowd size=3",1670352627,0,"1_cultural",0.840758714352933,TRUE,"cultural",0,0,2022-11-28,"2022-11"
