Unnamed: 0,event_id_cnty,event_date,time_precision,disorder_type,event_type,sub_event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction,civilian_targeting,iso,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,tags,timestamp,pro_kremlin_indicator,unauthorized,authorized,topic_manual,war_related,pro_regime,mention_of_authorisation,authorisation__notes,year,pred_labels,month_year,org_indicator,date,post_invasion,police_violence,election_month,federal_subject,reg_code,region_name_ru,feddis_name_en,feddis_name_ru,feddis_code
8047,RUS183,2018-02-20,1,Demonstrations,Protests,Peaceful protest,Protesters (Russia),,6,,,0,60,,643,Europe,Russia,Krasnodar,Krasnodar,NA,Krasnodar,45.0448,38.976,1,Krasnodar Media,Subnational,"On 20 February 2018, protesters gathered for a demonstration in Krasnodar against a local building development. The protest was organized by shareholders of the building project who felt defrauded by the project and local residents who were displaced by the construction.",0,,1653503241,0,0,0,,NA,NA,NA,,2018,social,2018-02,,2018-02-20,0,0,0,Krasnodar territory,38,Краснодарский край,south,Южный федеральный округ,3
4604,RUS4131,2020-02-20,1,Demonstrations,Protests,Peaceful protest,Protesters (Russia),,6,,,0,60,,643,Europe,Russia,Altai,Barnaul,NA,Barnaul,53.3606,83.7636,1,Moskovskij Komsomolets; AMIC,Subnational-National,"On 20 February 2020, about 20 people took part in an authorized protest in Barnaul against the plans to construct a new Altai State University building in the place of a local park.",0,crowd size=about 20,1649276870,0,0,1,,NA,NA,NA,,2020,environmental,2020-02,,2020-02-20,0,0,0,Altai territory,67,Алтайский край ,siberian,Сибирский федеральный округ,6
4419,RUS4310,2020-03-15,1,Demonstrations,Protests,Peaceful protest,Protesters (Russia),,6,,,0,60,,643,Europe,Russia,Republic of Komi,Syktyvkar,NA,Syktyvkar,61.6764,50.8099,1,RFE/RL; Kommersant; Rosbalt,National-International,"On 15 March 2020, over 50 people took part in an authorized protest in Syktyvkar against the creation of new waste-collection plants in the region.",0,crowd size=over 50,1618503450,0,0,1,environmental,NA,NA,NA,,2020,environmental,2020-03,,2020-03-15,0,0,0,Republic of Komi,20,Республика Коми ,north_west,Северо-Западный федеральный округ ,2
4771,RUS3967,2020-01-20,1,Demonstrations,Protests,Peaceful protest,Protesters (Russia),,6,,,0,60,,643,Europe,Russia,Republic of Dagestan,Makhachkala,NA,Makhachkala,42.9764,47.5024,1,Caucasian Knot; RFE/RL,National-International,"On 20 January 2020, 8 activists took part in a series of coordinated one-person protests in Makhachkala in support of a local activist and journalist who is accused of financing terror groups.",0,crowd size=8,1651181549,0,0,0,,NA,NA,NA,,2020,political,2020-01,,2020-01-20,0,0,0,Republic of Daghestan,31,Республика Дагестан ,south,Южный федеральный округ,3
3236,RUS5564,2021-01-17,1,Demonstrations,Protests,Peaceful protest,Protesters (Russia),,6,,,0,60,,643,Europe,Russia,Arkhangelsk,Severodvinsk,NA,Severodvinsk,64.5512,39.8218,1,RFE/RL,International,"On 17 January 2021, about 60 people staged an unauthorized protest in Severodvinsk against the construction of a new apartment complex in the zone that was initially meant for a park.",0,crowd size=about 60,1618492091,0,1,0,environmental,NA,NA,NA,,2021,environmental,2021-01,,2021-01-17,0,0,0,Arkhangelsk region,21,Архангельская область,north_west,Северо-Западный федеральный округ ,2
7059,RUS1429,2018-10-20,1,Demonstrations,Protests,Peaceful protest,Protesters (Russia),,6,,,0,60,,643,Europe,Russia,Arkhangelsk,Primorskiy,NA,Pomorye,65.3293,41.1154,1,Novye Izvestia,National,"On the 20 October 2018, people gathered in Pomorye to protest against the construction of a landfill and environmental technology park.",0,,1618568301,0,0,0,,NA,NA,NA,,2018,environmental,2018-10,,2018-10-20,0,0,0,Arkhangelsk region,21,Архангельская область,north_west,Северо-Западный федеральный округ ,2
4541,RUS4187,2020-02-29,1,Demonstrations,Protests,Peaceful protest,Protesters (Russia),,6,,,0,60,,643,Europe,Russia,Republic of Bashkortostan,Ufa,NA,Ufa,54.7852,56.0456,1,Echo Moscow; Argumenty I Fakty; Media Korset,Subnational-National,"On 29 February 2020, about 800 people took part in an authorized protest in Ufa against the heating fee hikes.",0,crowd size=about 800,1618503954,0,0,1,,NA,NA,NA,,2020,economic,2020-02,,2020-02-29,0,0,0,Republic of Bashkortastan,43,Республика Башкортостан,volga,Приволжский федеральный округ,4
4922,RUS3802,2019-12-14,1,Demonstrations,Protests,Peaceful protest,Protesters (Russia),,6,,,0,60,,643,Europe,Russia,Kirov,Orichevskiy,NA,Mirny,58.3033,48.6421,1,RFE/RL,International,"On 14 December 2019, about 60 people took part in an authorized protest in Mirny against the plans to construct a new toxic waste recycling plant in the region.",0,crowd size=about 60,1649875468,0,0,1,,NA,NA,NA,,2019,environmental,2019-12,,2019-12-14,0,0,0,Kirov region,49,Кировская область,volga,Приволжский федеральный округ,4
7020,RUS1470,2018-11-04,1,Demonstrations,Protests,Peaceful protest,Protesters (Russia),,6,,,0,60,,643,Europe,Russia,Novosibirsk,Novosibirsk,NA,Novosibirsk,55.0415,82.9346,1,Meduza,National,"On 4 November 2018, between 20 and 30 protesters took part in a nationalist anti-government march in the city of Novosibirsk coinciding with the National Unity Day holiday. No injuries or arrests were reported.",0,crowd size=20-30,1680633805,0,0,0,political,NA,NA,NA,,2018,political,2018-11,,2018-11-04,0,0,0,Novosibirsk region,71,Новосибирская область,siberian,Сибирский федеральный округ,6
2215,RUS6791,2021-08-14,1,Demonstrations,Protests,Peaceful protest,Protesters (Russia),,6,,,0,60,,643,Europe,Russia,Kirov,Kirov,NA,Kirov,58.5967,49.6601,1,Activatica,Other,"On 14 August 2021, nine protesters gathered in Kirov to demand that upcoming parliamentary elections in Russia be free and fair.",0,crowd size=9,1631042319,0,0,0,political,NA,NA,NA,,2021,political,2021-08,,2021-08-14,0,0,0,Kirov region,49,Кировская область,volga,Приволжский федеральный округ,4
