,source_name,,origin,is_social_media
0,Open Russia,,0,
1,The Penza Post,,0,
2,Ivanovo News,,0,
3,Nevskiye Novosti,,0,
4,MBK Media,,0,
5,Rosbalt,,0,
6,GTRK Pskov,,0,
7,LiveKuban,,0,
8,Ulpressa,,0,
9,KPRF,,0,
10,YamalPro,,0,
11,SurgutInformTV,,0,
12,NTV,,0,
13,Fortanga,,0,
14,Domovoy Sovet,,0,
15,Khanty-Mansiysk city administration,,0,
16,29.ru,,0,
17,ProGorodNN,,0,
18,Cheltoday,,0,
19,Znamya truda,,0,
20,PG11.ru,,0,
21,NIANN,,0,
22,Radio1.news,,0,
23,Tverskaya Zhizn,,0,
24,Open Media,,0,
25,Moe,,0,
26,GTRK Khakassia,,0,
27,Solidarnost,,0,
28,Agency for Social Information,,0,
29,Gazeta.ru,,0,
30,Novye Izvestia,,0,
31,V Kurse Voronezh,,0,
32,Luki.ru,,0,
33,NTM,,0,
34,Sakhalin Media,,0,
35,NIA Tomsk,,0,
36,Kasparov,,0,
37,NN.ru,,0,
38,Onkavkaz.com,,0,
39,Dvnovosti,,0,
40,GTRK Volgograd,,0,
41,Salt Zone,,0,
42,IrCity,,0,
43,Karavan Tver,,0,
44,Stop Corruption,,0,
45,Ussur.net,,0,
46,Zebra-TV,,0,
47,36on.ru,,0,
48,Omsk Region,,0,
49,ZAB.RU,,0,
50,Smolenskaya Pravda,,0,
51,Avtozak Live,,0,
52,Babr24.com,,0,
53,GTRK Vladimir,,0,
54,Nashe Versya,,0,
55,56orb.ru,,0,
56,Unian,,0,
57,GTRK Kaluga,,0,
58,Chechnya Today,,0,
59,Reuters,,1,
60,GTRK Mari El,,0,
61,MR7.ru,,0,
62,Tayshet 24,,0,
63,73online,,0,
64,Dosh Magazine,,0,
65,Ulyanovskaya Pravda,,0,
66,Realnoe Vremya,,0,
67,GTRK Alania,,0,
68,Smolensk-i,,0,
69,Deita,,0,
70,Novosti Vladivostok,,0,
71,Vesti Region,,0,
72,K1 News,,0,
73,GTRK Karelia,,0,
74,The Moscow Times,,0,
75,66.ru,,0,
76,NSK News,,0,
77,Agora,,0,
78,Business Gazeta,,0,
79,Permskiy Komsomolets,,0,
80,Zolotoy Rog,,0,
81,Tyumenskaya Oblast Segodnya,,0,
82,19rus.info,,0,
83,Kam24,,0,
84,News.ru,,0,
85,v-tagile.ru,,0,
86,ForPost,,0,
87,Tsargrad Media,,0,
88,Baikal-Media,,0,
89,KurskCity,,0,
90,FreeNews-Volga,,0,
91,Panorama Rostov,,0,
92,Interfax,,0,
93,Izvestno.ru,,0,
94,NewsTracker,,0,
95,Communa,,0,
