event_id_cnty,event_date,year,time_precision,disorder_type,event_type,sub_event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction,civilian_targeting,iso,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,tags,timestamp,pro_kremlin_indicator,topic,proportion,max,protest_type,unauthorized,authorized,date,month
RUS758,12 June 2018,2018,1,Demonstrations,Protests,Peaceful protest,Protesters (Russia),KPRF: Communist Party of the Russian Federation,6,,,0,60,,643,Europe,Russia,Kirov,Kirov,,Kirov,58.5967,49.6601,1,Vyatskiy Nablyudatel,National,"On 12 June 2018, the local branch of the Communist Party of the Russian Federation organised a picket on the Day of Russia in Kirov. Protesters were demonstrating against the rise of gasoline prices.",0,,1618568728,0,2_economic,0.9947232501495128,True,economic,0,0,2018-06-12,6
RUS51,28 January 2018,2018,1,Demonstrations,Protests,Peaceful protest,Protesters (Russia),Progress Party,6,,,0,60,,643,Europe,Russia,Altai,Barnaul,,Barnaul,53.3606,83.7636,1,ITAR-TASS,National,"On 28 January 2018, protest rallies were held in many Russian cities in support of the call from an opposition figure Alexey Navalny, the founder of the Progress Party, as he was denied participating in the Russian presidential elections due to the five-year suspended sentence he received in February 2017. One of the protests took place in Barnaul city of Barnaul municipality, Altai Krai.",0,,1652375201,0,4_legal,0.997285987374737,True,legal,0,0,2018-01-28,1
RUS863,01 July 2018,2018,1,Demonstrations,Protests,Peaceful protest,Protesters (Russia),KPRF: Communist Party of the Russian Federation; Labor Group (Russia),6,,,0,60,,643,Europe,Russia,Novosibirsk,Novosibirsk,,Novosibirsk,55.0415,82.9346,1,Interfax; TV Rain,National,"On 1 July 2018, a demonstration organized by the Communist party-related activists against the new pension reform took place in Novosibirsk as a part of a string of demonstrations across the whole federation. Each event gathered between several hundred and several thousand participants.",0,,1649346694,0,2_economic,0.996615033202816,True,economic,0,0,2018-07-01,7
RUS1376,07 October 2018,2018,1,Demonstrations,Protests,Peaceful protest,Protesters (Russia),Labor Group (Russia),6,,,0,60,,643,Europe,Russia,Krasnoyarsk,Krasnoyarsk,,Krasnoyarsk,56.0184,92.8672,1,RFE/RL,International,"On 7 October 2018, about 500 deceived real estate investors gathered in Kranoyarsk to protest against the suspension of the activities of a construction company. Participants fear that the property they invested in will not be completed.",0,,1652377492,0,2_economic,0.746333083122111,True,economic,0,0,2018-10-07,10
RUS178,18 February 2018,2018,1,Demonstrations,Protests,Peaceful protest,Protesters (Russia),Tatar Ethnic Group (Russia),6,,,0,60,,643,Europe,Russia,Republic of Tatarstan,Kazan,,Kazan,55.7887,49.1221,1,RFE/RL,International,"On 18 February 2018, about 150 persons participated in a rally in Kazan to demand the return of compulsory teaching of the Tatar language, the opening of the Tatar national university and the ratification of the European Charter on Regional languages.",0,,1618568349,0,1_cultural,0.7967214908377697,True,cultural,0,0,2018-02-18,2
RUS518,05 May 2018,2018,1,Demonstrations,Protests,Peaceful protest,Protesters (Russia),Progress Party,6,,,0,60,,643,Europe,Russia,Altai,Biysk,,Biysk,52.5363,85.2072,1,OVD Info,National,"On 5 May 2018, 30 people took part in an unsanctioned rally in Biysk as part a country wide mobilisation against the presidential inauguration of Vladimir Putin (organized by RF).",0,,1651181550,0,4_legal,0.9944297495033566,True,legal,1,0,2018-05-05,5
RUS1040,15 August 2018,2018,1,Demonstrations,Protests,Peaceful protest,Protesters (Russia),,6,,,0,60,,643,Europe,Russia,Moscow,Tsentralnyy,,Moscow - Central,55.7571,37.6173,1,MediaZone; TV Rain; Interfax; AFP,National-International,"On 15 August 2018, hundreds of demonstrators rallied in Central Moscow in support of a group of teenagers arrested on suspicion of extremist activities. The event was known as the 'Mothers' March' - police were present for the unauthorized protest but no interaction was recorded.",0,,1653503240,0,1_cultural,0.9960798609947212,True,cultural,1,0,2018-08-15,8
RUS803,25 June 2018,2018,1,Demonstrations,Protests,Peaceful protest,Protesters (Russia),Labor Group (Russia),6,,,0,60,,643,Europe,Russia,Ulyanovsk,Ulyanovsk,,Ulyanovsk,54.3282,48.3866,1,RFE/RL,International,"On 25 June 2018, a protest action against the pension reform was held in Ulyanovsk.",0,,1618568738,0,2_economic,0.9860780801692692,True,economic,0,0,2018-06-25,6
RUS1533,01 December 2018,2018,1,Demonstrations,Protests,Peaceful protest,Protesters (Russia),,6,,,0,60,,643,Europe,Russia,Moscow,,,Moscow,55.7522,37.6156,1,Kommersant,National,"On 1 December 2018 around 1,000 protesters from Presnensky region gathered in Moscow to protest against demolition of cinema Solovey. People from other regions were also present.",0,,1649286163,0,1_cultural,0.9933873955849232,True,cultural,0,0,2018-12-01,12
RUS2119,21 July 2018,2018,1,Demonstrations,Protests,Peaceful protest,Protesters (Russia),Health Workers (Russia),6,,,0,60,,643,Europe,Russia,Vologda,Vologda,,Vologda,59.2187,39.8886,1,Newsvo,Subnational,"On 21 July 2018, a group of nurses gathered in Vologda for a protest against the working conditions in local medical centers.",0,crowd size=15,1652375197,0,2_economic,0.7936423498557391,True,economic,0,0,2018-07-21,7
RUS1274,22 September 2018,2018,1,Demonstrations,Protests,Peaceful protest,Protesters (Russia),KPRF: Communist Party of the Russian Federation; Labor Group (Russia),6,,,0,60,,643,Europe,Russia,Jewish Autonomous Oblast,Birobidzhan,,Birobidzhan,48.7818,132.9213,1,Novaya Gazeta,National,"On 22 September 2018, around 45-120 people rallied in Birobidzhan against pension reforms. The rally was organized by the Communist party.",0,,1649286163,0,2_economic,0.9929794028510536,True,economic,0,0,2018-09-22,9
RUS1527,27 November 2018,2018,1,Demonstrations,Protests,Peaceful protest,Protesters (Russia),Ingush Ethnic Group (Russia),6,,,0,60,,643,Europe,Russia,Republic of Ingushetia,Nazran,,Nazran,43.2152,44.7761,1,Caucasian Knot; Interfax,National,"On Tuesday, November 27, an unspecified number of Ingush protesters held an authorized one-day protest in central Nazran, at the same time as the Russian Constitutional Court was assessing the legitimacy of the land-swap deal between Ingushetia and Chechnya. No injuries or arrests were reported.",0,,1618568314,0,1_cultural,0.9962495368261176,True,cultural,0,1,2018-11-27,11
RUS855,01 July 2018,2018,1,Demonstrations,Protests,Peaceful protest,Protesters (Russia),RF: Russia of the Future; Navalny HQ; Labor Group (Russia),6,,,0,60,,643,Europe,Russia,Tver,Konakovskiy,,Konakovo,56.6951,36.7744,1,Interfax; TV Rain,National,"On 1 July 2018, a demonstration against the new pension reform took place in Konakovo as a part of a string of demonstrations across the whole federation. Each event gathered between several hundred and several thousand participants. The rally-string was initiated by A. Navalny's Russia of the Future and Navalny HQ and its supporters.",0,crowd size=between 300-3000,1618568745,0,2_economic,0.9970802616294824,True,economic,0,0,2018-07-01,7
