q1,q2,q3,q4,q5,q6_1,q6_2,q7,q8,q9,q10_1,q11_1,q11_2,q12,q13,q14version1,q14version2,q15group1,q15group2,q15group3,q15group4,q15group5,q15group6,q15group7,q15group8,q16,q17,q18_1,q18_2,q18_3,q18_4,q18_5,q19_1,q19_2,q19_3,q20,q21,q22,exp_ind,issue,protester_approval,justified_arrests,aggressive,law_abiding,dangerous,respectful,caring,violent,lawful,threatening,unauthorized,violence,obey,Putin,missing_justified,missing_approval,m_aggressive,m_law_abiding,m_dangerous,m_respectful,m_caring,m_violent,m_lawful,m_threatening
26,41,7,2,6,4,3,4,10,4,5,5,5,6,9,,2,,,,,6,,,,6,8,99,99,99,99,99,99,99,99,6,3,3,5,1,3,8,3,3,3,3,3,3,3,3,0,0,0,0,0,1,1,1,1,1,1,1,1,1
38,56,2,1,6,3,3,4,5,3,5,2,2,2,3,2,,,,,,,4,,,4,4,3,4,4,4,4,3,2,2,4,3,3,6,1,1,4,2,1,1,1,1,2,4,4,0,1,0,1,0,0,0,0,0,0,0,0,0,0
31,41,7,1,6,5,5,1,5,1,5,2,3,2,1,2,,,,,,,4,,,4,0,2,3,2,3,3,3,3,2,4,3,3,6,1,1,0,4,2,4,2,2,2,2,4,0,1,1,1,0,0,0,0,0,0,0,0,0,0
37,60,5,2,7,1,4,2,6,1,3,1,4,1,2,,2,,,,,,,,3,1,11,3,2,4,2,2,98,98,4,6,2,2,8,1,5,5,2,4,1,4,4,3,3,1,1,1,1,0,1,0,0,0,0,0,0,1,1,0
35,69,5,1,5,5,3,1,5,1,5,3,3,1,2,3,,,,,4,,,,,4,10,2,4,2,4,4,3,4,2,5,3,3,4,0,1,10,4,1,4,1,1,2,1,4,1,1,1,1,0,0,0,0,0,0,0,0,0,0
39,12,5,2,7,5,5,1,5,1,5,1,2,1,1,2,,,,,,,,4,,4,10,1,4,1,4,4,2,4,1,6,5,5,7,1,1,10,5,1,5,1,1,4,1,5,1,0,1,1,0,0,0,0,0,0,0,0,0,0
53,58,4,1,5,1,1,2,7,3,1,4,4,2,4,,1,,,,,,,,1,1,0,4,4,4,4,4,3,98,98,2,1,1,8,1,5,0,1,1,1,1,1,2,3,3,1,1,0,0,0,0,0,0,0,0,0,0,1,1
34,69,5,2,7,4,3,3,6,2,2,2,2,1,1,2,,,,,,1,,,,2,0,4,1,4,1,1,4,1,4,5,1,2,5,1,4,0,1,5,1,5,5,1,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,41,3,1,6,5,5,1,7,1,5,3,3,2,1,,3,,,,,,,2,,2,9,1,4,1,4,4,98,98,98,5,2,3,7,1,4,9,5,1,5,1,1,3,3,3,1,0,1,0,0,0,0,0,0,0,0,1,1,1
21,48,1,2,6,4,3,3,5,3,5,3,3,2,2,1,,,5,,,,,,,5,5,99,98,98,98,98,98,98,98,4,2,2,2,0,3,5,3,3,3,3,3,3,3,3,0,1,0,1,0,1,1,1,1,1,1,1,1,1
53,37,1,1,4,4,3,3,9,2,3,2,4,2,1,,3,,,2,,,,,,2,3,4,98,3,2,2,4,98,4,4,3,6,3,0,4,3,1,3,2,4,4,1,3,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0
37,41,7,1,6,4,4,1,5,2,1,1,1,3,5,4,,2,,,,,,,,3,7,1,1,1,1,1,1,1,3,6,5,5,1,0,2,7,5,5,5,5,5,5,5,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0
35,41,1,2,6,4,4,4,9,1,5,2,3,5,7,,1,,,,,,,5,,5,11,98,98,98,98,98,98,98,98,8,1,3,7,1,3,5,3,3,3,3,3,3,3,3,1,0,1,0,1,1,1,1,1,1,1,1,1,1
49,54,4,2,6,4,4,3,9,2,3,3,3,2,4,,2,5,,,,,,,,5,5,99,99,99,99,99,99,99,99,8,3,4,1,0,3,5,3,3,3,3,3,3,3,3,0,0,0,0,0,1,1,1,1,1,1,1,1,1
34,54,4,1,7,3,3,3,7,2,4,2,2,4,4,,2,3,,,,,,,,4,3,3,3,3,3,4,4,4,4,6,2,2,1,0,1,3,2,2,2,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,63,3,1,2,5,5,1,5,1,5,2,3,2,4,3,,,,,,,4,,,4,9,1,3,1,3,3,2,4,2,3,3,3,6,1,1,9,5,2,5,2,2,4,1,4,0,1,1,1,0,0,0,0,0,0,0,0,0,0
38,46,5,1,5,2,2,3,8,1,5,2,2,2,4,1,,,,,,3,,,,3,4,3,3,3,3,3,2,3,2,5,3,3,5,1,2,4,2,2,2,2,2,4,2,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0
42,69,4,1,4,5,5,1,5,2,5,2,3,1,1,3,,,,,2,,,,,2,5,4,2,3,2,2,3,2,2,5,3,3,4,0,4,5,1,4,2,4,4,2,4,4,1,1,0,1,0,0,0,0,0,0,0,0,0,0
45,82,4,1,7,4,4,3,2,1,4,2,3,1,4,1,,,,,,2,,,,2,4,98,98,98,98,98,4,1,4,5,3,3,5,1,4,4,3,3,3,3,3,1,5,1,0,0,1,0,0,0,1,1,1,1,1,0,0,0
43,85,4,1,7,5,4,1,5,1,5,4,4,2,1,,5,,,,,3,,,,4,11,98,98,98,98,98,98,98,98,5,1,1,5,1,1,5,3,3,3,3,3,3,3,3,0,0,1,1,1,0,1,1,1,1,1,1,1,1
49,41,7,2,6,2,2,3,9,2,3,2,3,3,2,,2,,,,,,,2,,5,3,4,3,4,98,98,98,98,98,6,3,2,7,1,3,3,1,2,1,3,3,3,3,3,1,0,0,0,0,1,0,0,0,1,1,1,1,1
49,27,3,1,6,4,3,3,7,1,3,2,3,2,1,,1,1,,,,,,,,1,1,98,1,98,4,2,3,2,98,5,3,6,1,0,5,1,3,5,3,1,4,2,4,3,0,0,1,0,0,0,1,0,1,0,0,0,0,1
50,14,5,1,6,4,4,1,5,3,5,2,3,2,4,,3,,4,,,,,,,2,10,1,4,1,4,3,1,4,1,5,3,3,2,0,4,10,5,1,5,1,2,5,1,5,0,1,0,1,0,0,0,0,0,0,0,0,0,0
23,63,5,1,6,5,5,1,5,1,5,2,2,2,2,1,,,,,,,5,,,5,11,3,2,4,98,98,2,98,98,5,4,4,6,1,3,5,2,4,1,3,3,4,3,3,0,1,1,1,1,1,0,0,0,1,1,0,1,1
50,53,5,1,4,5,4,1,5,2,5,2,2,1,1,,3,,,,,,,,4,2,9,1,4,2,4,4,1,4,1,6,3,3,8,1,4,9,5,1,4,1,1,5,1,5,1,1,0,1,0,0,0,0,0,0,0,0,0,0
33,59,6,1,6,5,5,1,5,1,5,2,3,2,3,,3,3,,,,,,,,3,4,4,2,4,2,2,4,1,3,4,3,5,1,0,2,4,1,4,1,4,4,1,5,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0
57,41,7,2,6,4,1,1,7,2,5,2,2,3,4,2,,,,,1,,,,,1,0,4,2,4,1,1,4,1,2,3,1,3,4,0,5,0,1,4,1,5,5,1,5,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0
35,41,7,2,6,7,6,4,10,4,5,5,5,6,4,,5,,,,6,,,,,6,12,99,99,99,99,99,99,99,99,5,6,6,4,0,3,5,3,3,3,3,3,3,3,3,1,1,0,0,1,1,1,1,1,1,1,1,1,1
43,33,5,2,6,5,4,1,5,1,5,2,3,1,1,,2,,,,4,,,,,4,8,3,2,3,98,2,3,3,2,5,3,2,4,0,1,8,2,4,2,3,4,2,2,4,1,1,1,1,0,0,0,0,0,1,0,0,0,0
60,33,5,1,6,5,4,1,5,1,5,1,3,1,4,,3,,,2,,,,,,2,5,1,4,1,4,4,3,2,3,3,1,3,3,0,4,5,5,1,5,1,1,2,4,2,1,0,1,1,0,0,0,0,0,0,0,0,0,0
55,53,2,1,6,5,4,1,5,1,5,2,3,1,2,1,,,,,,2,,,,5,5,3,2,3,98,98,3,2,3,6,3,3,5,1,3,5,2,4,2,3,3,2,4,2,0,0,1,1,0,1,0,0,0,1,1,0,0,0
65,32,1,1,4,5,5,1,5,1,5,2,3,1,1,,5,2,,,,,,,,2,0,4,1,4,1,1,4,1,4,5,5,5,1,0,4,0,1,5,1,5,5,1,5,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
58,18,4,1,5,4,3,1,5,3,5,2,3,1,4,2,,,3,,,,,,,1,0,4,1,4,1,1,4,1,3,5,3,4,2,0,5,0,1,5,1,5,5,1,5,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0
63,55,1,1,6,2,2,2,1,1,5,1,2,1,1,,2,,,,,,2,,,2,2,4,2,3,2,2,3,2,3,7,4,3,6,1,4,2,1,4,2,4,4,2,4,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0
59,59,6,1,4,5,5,1,5,1,5,4,3,1,1,2,,,,,,,4,,,4,10,1,4,1,98,98,1,4,1,4,3,5,6,1,1,10,5,1,5,3,3,5,1,5,0,1,1,1,0,0,0,0,0,1,1,0,0,0
65,63,5,1,6,5,5,1,5,2,5,2,3,1,4,2,,,,3,,,,,,2,8,1,3,2,3,3,4,3,2,4,3,4,3,0,4,8,5,2,4,2,2,1,2,4,1,0,0,1,0,0,0,0,0,0,0,0,0,0
57,58,4,1,4,4,4,3,9,1,4,4,4,2,1,,3,,,,,5,,,,5,11,4,4,4,98,2,98,98,98,4,3,6,5,1,3,5,1,1,1,3,4,3,3,3,0,0,1,0,1,1,0,0,0,1,0,1,1,1
45,42,1,1,4,4,1,2,2,1,3,2,3,1,1,,3,,,,,,,,3,2,5,2,4,2,4,3,4,4,2,4,1,1,8,1,4,5,4,1,4,1,2,1,1,4,1,1,1,0,0,0,0,0,0,0,0,0,0,0
33,32,5,2,6,5,5,1,5,1,5,2,3,2,2,2,,,,4,,,,,,5,6,3,1,1,1,2,1,3,3,5,2,5,3,0,3,6,2,5,5,5,4,5,2,2,1,0,1,1,0,1,0,0,0,0,0,0,0,0
66,58,4,1,6,4,4,1,5,1,5,2,3,2,1,,3,,5,,,,,,,2,4,2,2,3,3,2,3,2,2,5,3,4,2,0,4,4,4,4,2,2,4,2,4,4,0,1,1,1,0,0,0,0,0,0,0,0,0,0
55,71,3,1,2,3,2,3,7,2,6,2,3,1,4,3,,,,,3,,,,,2,10,98,3,2,98,1,4,4,1,3,2,6,4,0,4,10,3,2,4,3,5,1,1,5,1,1,0,0,0,0,1,0,0,1,0,0,0,0
